Configuration	Term	J	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
""	"*"	"5"	" 1.9872249"	""	"0.915"	"                                                                      "	""
""	"*"	"4"	" 1.9910859"	""	"0.713"	"                                                                      "	""
"4f3.(4I*).5d2.(3F) (6K*).6s"	"*"	"6"	" 1.9996594"	""	"0.950"	"  43  5K*        :    13  4f3.(4I*)(3F) (6H*).6s 7H*                  "	""
""	"*"	"5"	" 2.0040572"	""	"0.925"	"                                                                      "	""
""	"*"	"5"	" 2.0157076"	""	"0.957"	"                                                                      "	""
"4f3.(4I*).5d.6s2"	"*"	"7"	" 2.0317950"	""	"1.175"	"  41  3I*        :    39                         (4I*) 5H*            "	""
""	"*"	"5"	" 2.0776078"	""	"1.035"	"                                                                      "	""
"4f3.(4I*).5d2.(3P) (6K*).6s"	"7K*"	"6"	" 2.0825357"	""	"0.955"	"  59             :     8  4f3.(4I*)(3F) (4L*).6s 5L*                  "	""
""	"*"	"5"	" 2.0884944"	""	"1.015"	"                                                                      "	""
""	"*"	"7"	" 2.0885619"	""	"1.120"	"                                                                      "	""
""	"*"	"3"	" 2.1051713"	""	"0.520"	"                                                                      "	""
""	"*"	"4"	" 2.1117170"	""	"1.020"	"                                                                      "	""
"4f3.(4I*).5d.6s2"	"3H*"	"6"	" 2.1182787"	""	"1.215"	"  46             :    25                         (4I*) 5G*            "	""
"4f4.6s.6p"	"*"	"5"	" 2.1279321"	""	"1.135"	"                                                                      "	""
"4f3.(4I*).5d2.(3F) (6H*).6s"	"*"	"6"	" 2.1371714"	""	"1.190"	"  24  7H*        :    17  4f3.(4I*)(3F) (6G*).6s 7G*                  "	""
""	"*"	"7"	" 2.1436422"	""	"1.070"	"                                                                      "	""
""	"*"	"4"	" 2.1473767"	""	"0.865"	"                                                                      "	""
""	"*"	"5"	" 2.1557787"	""	"0.735"	"                                                                      "	""
"4f3.(4I*).5d2.(3P) (6I*).6s"	"7I*"	"4"	" 2.1886742"	""	"0.755"	"  73             :     9  4f3.(4I*)(3F) (4I*).6s 5I*                  "	""
""	"*"	"6"	" 2.2005725"	""	"1.090"	"                                                                      "	""
"4f3.(4F*).5d.6s2"	"5H*"	"7"	" "	""	""	"                                                                      "	""
"4f3.(4F*).5d.6s2"	"5H*"	"3"	" 2.2053059"	""	"0.600"	"  88             :     5                         (2D*) 3G*            "	""
"4f3.(4F*).5d.6s2"	"5H*"	"4"	" 2.3236296"	""	"0.930"	"  90             :     3                         (2D*) 3G*            "	""
"4f3.(4F*).5d.6s2"	"5H*"	"5"	" 2.4568685"	""	"1.110"	"  78             :     3                         (2H*) 3I*            "	""
"4f3.(4F*).5d.6s2"	"5H*"	"6"	" 2.5631281"	""	"1.185"	"  70             :     6                         (2G*) 3I*            "	""
""	"*"	"4"	" 2.2056811"	""	"0.920"	"                                                                      "	""
""	"*"	"5"	" 2.2057549"	""	"1.005"	"                                                                      "	""
""	"*"	"8"	" 2.2284063"	""	"1.200"	"                                                                      "	""
""	"*"	"3"	" 2.2288500"	""	"0.900"	"                                                                      "	""
""	"*"	"5"	" 2.2354078"	""	"0.970"	"                                                                      "	""
""	"*"	"5"	" 2.2401393"	""	"0.920"	"                                                                      "	""
""	"*"	"7"	" 2.2495304"	""	"1.090"	"                                                                      "	""
""	"*"	"6"	" 2.2530184"	""	"1.080"	"                                                                      "	""
"4f3.(4I*).5d2.(3F) (4K*).6s"	"*"	"6"	" 2.2626217"	""	"0.945"	"  13  5K*        :    11                         (4I*)(3P). (6I*) 7I* "	""
""	"*"	"5"	" 2.2626848"	""	"1.010"	"                                                                      "	""
""	"*"	"7"	" 2.2635553"	""	"0.955"	"                                                                      "	""
""	"*"	"5"	" 2.2694564"	""	"0.845"	"                                                                      "	""
