Configuration	Term	J	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
""	""	"6"	" 3.4261457"	""	"0.975"	"                                                                      "	""
""	""	"6"	" 3.4318260"	""	"1.130"	"                                                                      "	""
""	"*"	"3"	" 3.4336902"	""	"1.060"	"                                                                      "	""
""	""	"6"	" 3.4358482"	""	"0.945"	"                                                                      "	""
""	"*"	"7"	" 3.4361587"	""	"1.110"	"                                                                      "	""
""	"*"	"4"	" 3.4364341"	""	"0.890"	"                                                                      "	""
""	""	"6"	" 3.4411980"	""	"1.045"	"                                                                      "	""
""	""	"9"	" 3.4439748"	""	"1.085"	"                                                                      "	""
""	"*"	"4"	" 3.4443327"	""	"1.030"	"                                                                      "	""
""	""	"7"	" 3.4474259"	""	"1.020"	"                                                                      "	""
""	""	"8"	" 3.4486681"	""	"1.015"	"                                                                      "	""
""	"*"	"6"	" 3.4506154"	""	"1.035"	"                                                                      "	""
""	"*"	"10"	" 3.4512021"	""	"1.200"	"                                                                      "	""
""	"*"	"5"	" 3.4518509"	""	"0.990"	"                                                                      "	""
""	"*"	"9"	" 3.4520251"	""	"1.160"	"                                                                      "	""
""	""	"4"	" 3.4533006"	""	"0.845"	"                                                                      "	""
""	"*"	"4"	" 3.4542594"	""	"1.125"	"                                                                      "	""
"4f4.5d.6p?"	"b 7K*?"	"4"	" 3.4567724"	""	"0.505"	"                                                                      "	""
"4f4.5d.6p?"	"b 7K*?"	"5"	" 3.5353125"	""	"0.858"	"                                                                      "	""
"4f4.5d.6p?"	"b 7K*?"	"6"	" 3.6436051"	""	"1.005"	"                                                                      "	""
"4f4.5d.6p?"	"b 7K*?"	"7"	" 3.7525810"	""	"1.085"	"                                                                      "	""
"4f4.5d.6p?"	"b 7K*?"	"8"	" 3.8706646"	""	"1.120"	"                                                                      "	""
"4f4.5d.6p?"	"b 7K*?"	"9"	" 4.0064564"	""	"1.170"	"                                                                      "	""
"4f4.5d.6p?"	"b 7K*?"	"10"	" 4.1378877"	""	"1.220"	"                                                                      "	""
""	""	"9"	" 3.4568337"	""	"1.140"	"                                                                      "	""
""	"*"	"5"	" 3.4594775"	""	"1.040"	"                                                                      "	""
""	"*"	"6"	" 3.4608534"	""	"0.910"	"                                                                      "	""
""	""	"8"	" 3.4618968"	""	"1.125"	"                                                                      "	""
""	""	"5"	" 3.4624125"	""	"0.880"	"                                                                      "	""
""	"*"	"7"	" 3.4658177"	""	"1.107"	"                                                                      "	""
""	""	"9"	" 3.4667529"	""	"0.975"	"                                                                      "	""
""	""	"5"	" 3.4701672"	""	"1.000"	"                                                                      "	""
""	"*"	"4"	" 3.4703165"	""	"0.930"	"                                                                      "	""
""	"*"	"3"	" 3.4713338"	""	"0.915"	"                                                                      "	""
""	"*"	"5"	" 3.4715750"	""	"0.915"	"                                                                      "	""
"4f4.(5I).6s.7s.(3S)"	"7I"	"3"	" 3.4749551"	""	"0.345"	"                                                                      "	""
"4f4.(5I).6s.7s.(3S)"	"7I"	"4"	" 3.4999772"	""	"0.710"	"                                                                      "	""
"4f4.(5I).6s.7s.(3S)"	"7I"	"5"	" 3.5433393"	""	"0.945"	"                                                                      "	""
"4f4.(5I).6s.7s.(3S)"	"7I"	"6"	" 3.660358"	""	"1.085"	"                                                                      "	""
"4f4.(5I).6s.7s.(3S)"	"7I"	"7"	" 3.797746"	""	"1.200"	"                                                                      "	""
"4f4.(5I).6s.7s.(3S)"	"7I"	"8"	" 3.947496"	""	"1.255"	"                                                                      "	""
"4f4.(5I).6s.7s.(3S)"	"7I"	"9"	" 4.104621"	""	"1.315"	"                                                                      "	""
""	""	"6"	" 3.4766068"	""	"0.840"	"                                                                      "	""
""	"*"	"4"	" 3.4787685"	""	"0.795"	"                                                                      "	""
""	"*"	"4"	" 3.4793067"	""	"0.590"	"                                                                      "	""
""	""	"5"	" 3.4823231"	""	"0.860"	"                                                                      "	""
""	""	"7"	" 3.4846757"	""	"1.045"	"                                                                      "	""
""	""	"5"	" 3.4914209"	""	"0.895"	"                                                                      "	""
""	"*"	"5"	" 3.4937458"	""	"0.965"	"                                                                      "	""
""	"*"	"4"	" 3.4976785"	""	"1.010"	"                                                                      "	""
""	""	"5"	" 3.4988745"	""	"0.895"	"                                                                      "	""
""	"*"	"4"	" 3.5014565"	""	"1.020"	"                                                                      "	""
""	"*"	"5"	" 3.5063424"	""	"1.070"	"                                                                      "	""
""	"*"	"6"	" 3.5098935"	""	"1.000"	"                                                                      "	""
""	"*"	"3"	" 3.5101501"	""	"0.800"	"                                                                      "	""
""	""	"7"	" 3.5155149"	""	"1.060"	"                                                                      "	""
""	""	"6"	" 3.5158142"	""	"0.980"	"                                                                      "	""
""	"*"	"4"	" 3.5203832"	""	"0.980"	"                                                                      "	""
""	""	"7"	" 3.5226748"	""	"0.995"	"                                                                      "	""
""	"*"	"8"	" 3.5244681"	""	"0.945"	"                                                                      "	""
""	""	"4"	" 3.5259597"	""	"0.880"	"                                                                      "	""
""	""	"8"	" 3.5261447"	""	"0.935"	"                                                                      "	""
""	"*"	"8"	" 3.5353671"	""	"1.150"	"                                                                      "	""
""	""	"5"	" 3.5367646"	""	"1.075"	"                                                                      "	""
""	"*"	"5"	" 3.5374462"	""	"1.115"	"                                                                      "	""
""	"*"	"5"	" 3.5418857"	""	"1.090"	"                                                                      "	""
""	"*"	"8"	" 3.5446903"	""	"1.175"	"                                                                      "	""
""	"*"	"6"	" 3.5462878"	""	"1.100"	"                                                                      "	""
""	"*"	"5"	" 3.5535963"	""	"0.960"	"                                                                      "	""
""	""	"5"	" 3.5540219"	""	"0.920"	"                                                                      "	""
""	""	"4"	" 3.5577836"	""	"1.085"	"                                                                      "	""
""	"*"	"4"	" 3.5607654"	""	"1.070"	"                                                                      "	""
""	"*"	"5"	" 3.5611789"	""	"0.895"	"                                                                      "	""
""	""	"5"	" 3.5622154"	""	"0.870"	"                                                                      "	""
""	""	"6"	" 3.5656296"	""	"1.020"	"                                                                      "	""
""	"*"	"3"	" 3.5657849"	""	"0.935"	"                                                                      "	""
""	"*"	"9"	" 3.5684041"	""	"1.215"	"                                                                      "	""
""	"*"	"8"	" 3.5691505"	""	"1.175"	"                                                                      "	""
""	"*"	"3"	" 3.5739025"	""	"1.090"	"                                                                      "	""
""	""	"8"	" 3.5756243"	""	"1.070"	"                                                                      "	""
""	"*"	"5"	" 3.5761987"	""	"1.100"	"                                                                      "	""
""	""	"6"	" 3.5779695"	""	"0.855"	"                                                                      "	""
""	"*"	"5"	" 3.5785216"	""	"0.945"	"                                                                      "	""
""	""	"5"	" 3.5813825"	""	"0.825"	"                                                                      "	""
""	""	"7"	" 3.5873638"	""	"0.945"	"                                                                      "	""
""	"*"	"6"	" 3.5888501"	""	"1.208"	"                                                                      "	""
""	"*"	"7"	" 3.5890255"	""	"1.090"	"                                                                      "	""
""	""	"6"	" 3.5894447"	""	"0.735"	"                                                                      "	""
""	"*"	"7"	" 3.5966339"	""	"1.120"	"                                                                      "	""
""	""	"8"	" 3.6029892"	""	"0.950"	"                                                                      "	""
""	"*"	"9"	" 3.6031005"	""	"1.015"	"                                                                      "	""
""	"*"	"6"	" 3.6175595"	""	"0.960"	"                                                                      "	""
""	""	"6"	" 3.6303436"	""	"0.720"	"                                                                      "	""
""	""	"5"	" 3.6340012"	""	"0.870"	"                                                                      "	""
""	""	"6"	" 3.6345691"	""	"0.995"	"                                                                      "	""
""	"*"	"4"	" 3.6352104"	""	"0.910"	"                                                                      "	""
""	"*"	"10"	" 3.6377671"	""	"1.217"	"                                                                      "	""
""	""	"9"	" 3.6408062"	""	"1.055"	"                                                                      "	""
""	""	"8"	" 3.6441133"	""	"1.130"	"                                                                      "	""
""	"*"	"5"	" 3.6482988"	""	"0.965"	"                                                                      "	""
""	"*"	"5"	" 3.6542080"	""	"1.120"	"                                                                      "	""
""	""	"5"	" 3.6567831"	""	"0.830"	"                                                                      "	""
""	""	"9"	" 3.6568936"	""	"1.100"	"                                                                      "	""
""	"*"	"6"	" 3.6571941"	""	"1.268"	"                                                                      "	""
""	"*"	"6"	" 3.6588285"	""	""	"                                                                      "	""
""	""	"5"	" 3.6619262"	""	"0.970"	"                                                                      "	""
""	""	"8"	" 3.6621632"	""	"1.075"	"                                                                      "	""
""	"*"	"6"	" 3.6655775"	""	"1.047"	"                                                                      "	""
""	""	"10"	" 3.6663082"	""	"1.060"	"                                                                      "	""
""	""	"8"	" 3.6805766"	""	"1.035"	"                                                                      "	""
""	"*"	"9"	" 3.6903667"	""	"1.185"	"                                                                      "	""
""	"*"	"5"	" 3.6906023"	""	"0.893"	"                                                                      "	""
""	"*"	"7"	" 3.6906344"	""	"1.090"	"                                                                      "	""
""	""	"8"	" 3.6949858"	""	"0.995"	"                                                                      "	""
""	"*"	"10"	" 3.6979970"	""	"1.020"	"                                                                      "	""
""	""	"6"	" 3.7013722"	""	"1.086"	"                                                                      "	""
""	""	"8"	" 3.7038181"	""	"1.110"	"                                                                      "	""
""	"*"	"9"	" 3.7140886"	""	"1.138"	"                                                                      "	""
""	"*"	"8"	" 3.7170931"	""	"1.100"	"                                                                      "	""
""	"*"	"3"	" 3.7193067"	""	"1.089"	"                                                                      "	""
""	""	"7"	" 3.7209685"	""	"1.055"	"                                                                      "	""
""	"*"	"5"	" 3.7212952"	""	"1.037"	"                                                                      "	""
""	"*"	"5"	" 3.7269706"	""	"0.985"	"                                                                      "	""
""	"*"	"5"	" 3.7307754"	""	"0.962"	"                                                                      "	""
""	"*"	"5"	" 3.7318357"	""	"1.050"	"                                                                      "	""
""	"*"	"5"	" 3.7368664"	""	"1.070"	"                                                                      "	""
""	""	"5"	" 3.7378827"	""	"0.950"	"                                                                      "	""
""	"*"	"5"	" 3.7405669"	""	"1.025"	"                                                                      "	""
""	""	"5"	" 3.7444034"	""	"0.880"	"                                                                      "	""
""	"*"	"4"	" 3.7446222"	""	"1.020"	"                                                                      "	""
""	"*"	"2"	" 3.74907"	""	"0.770"	"                                                                      "	""
"4f4.5d.6p?"	"*"	"10"	" 3.7561050"	""	"1.243"	"                                                                      "	""
""	""	"8"	" 3.7591587"	""	"1.165"	"                                                                      "	""
""	"*"	"3"	" 3.7690700"	""	"0.890"	"                                                                      "	""
""	""	"6"	" 3.7697767"	""	"1.035"	"                                                                      "	""
""	""	"3"	" 3.7784439"	""	"0.685"	"                                                                      "	""
""	""	"8"	" 3.7802615"	""	"1.110"	"                                                                      "	""
""	"*"	"4"	" 3.7808069"	""	"1.030"	"                                                                      "	""
""	""	"9"	" 3.7994596"	""	"1.044"	"                                                                      "	""
""	"*"	"8"	" 3.8095787"	""	"1.145"	"                                                                      "	""
""	"*"	"8"	" 3.8193715"	""	"1.188"	"                                                                      "	""
""	"*"	"2"	" 3.8280611+x"	""	"0.795"	"                                                                      "	""
""	"*"	"6"	" 3.8435824"	""	"1.007"	"                                                                      "	""
""	""	"5"	" 3.8595951"	""	"1.000"	"                                                                      "	""
""	""	"5"	" 3.8622504"	""	"0.835"	"                                                                      "	""
""	""	"4"	" 3.8661980"	""	"0.520"	"                                                                      "	""
""	""	"8"	" 3.8727077"	""	"1.086"	"                                                                      "	""
""	""	"7"	" 3.8736061"	""	"0.940"	"                                                                      "	""
""	"*"	"2"	" 3.8745477"	""	"0.875"	"                                                                      "	""
"4f4.5d.6p?"	"*"	"10"	" 3.8757696"	""	"1.245"	"                                                                      "	""
""	""	"7"	" 3.8908622"	""	"1.055"	"                                                                      "	""
"4f4.5d.6p?"	"*"	"8"	" 3.8946096"	""	"1.065"	"                                                                      "	""
""	""	"7"	" 3.9085032"	""	"0.980"	"                                                                      "	""
""	""	"6"	" 3.9092174"	""	"1.135"	"                                                                      "	""
""	""	"4"	" 3.9107071"	""	"0.860"	"                                                                      "	""
""	""	"5"	" 3.9124111"	""	"0.735"	"                                                                      "	""
"4f4.5d.6p?"	"*"	"11"	" 3.9261655"	""	"1.107"	"                                                                      "	""
""	"*"	"9"	" 3.9372862"	""	"1.200"	"                                                                      "	""
""	""	"7"	" 3.9428401"	""	"0.955"	"                                                                      "	""
""	"*"	"9"	" 3.9556253"	""	"1.240"	"                                                                      "	""
""	""	"3"	" 3.9955433"	""	"0.840"	"                                                                      "	""
""	""	"4"	" 4.0004146"	""	"0.935"	"                                                                      "	""
""	""	"2"	" 4.0209297"	""	"0.700"	"                                                                      "	""
""	""	"4"	" 4.0440794"	""	"0.620"	"                                                                      "	""
""	""	"7"	" 4.1125611"	""	"0.975"	"                                                                      "	""
""	""	"6"	" 4.1701031"	""	"0.925"	"                                                                      "	""
""	""	"6"	" 4.2529171"	""	"0.950"	"                                                                      "	""
""	""	"3"	" 4.3229906"	""	"0.670"	"                                                                      "	""
"Nd II (4f4.5s2.5p6.6s 6I*<7/2>)"	"Limit"	"---"	" 5.5250"	"0.0006"	""	"                                                                      "	"L4277"
