Configuration	Term	J	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
""	"*"	"7/2"	" 3.0148022"	""	"1.135"	"                                                           "	""
""	"*"	"9/2"	" 3.0154501"	""	"0.90"	"                                                           "	""
""	"*"	"13/2"	" 3.0275348"	""	"1.130"	"                                                           "	""
""	"*"	"7/2"	" 3.0336485"	""	"0.945"	"                                                           "	""
""	"4K*"	"15/2"	" 3.0434972"	""	"1.120"	"                                                           "	""
""	"*"	"9/2"	" 3.0462632"	""	"1.185"	"                                                           "	""
""	"*"	"11/2"	" 3.0606386"	""	"1.122"	"                                                           "	""
""	"4I*"	"13/2"	" 3.0650189"	""	"1.050"	"                                                           "	""
"4f3.5d.6s"	"*"	"9/2"	" 3.0744833"	""	"0.975"	"                                                           "	""
""	"*"	"11/2"	" 3.0801227"	""	"0.975"	"                                                           "	""
""	"*"	"7/2"	" 3.0889237"	""	"0.860"	"                                                           "	""
""	"*"	"13/2"	" 3.0940511"	""	"1.130"	"                                                           "	""
""	"*"	"11/2"	" 3.1014536"	""	"1.120"	"                                                           "	""
"4f4.(5I).6p"	"6I*"	"7/2"	" 3.1051402"	""	"0.820"	"                                                           "	""
"4f4.(5I).6p"	"6I*"	"9/2"	" 3.2083589"	""	"0.950"	"                                                           "	""
"4f4.(5I).6p"	"6I*"	"11/2"	" 3.3193149"	""	"1.020"	"                                                           "	""
"4f4.(5I).6p"	"6I*"	"13/2"	" 3.4398412"	""	"1.080"	"                                                           "	""
"4f4.(5I).6p"	"6I*"	"15/2"	" 3.5777990"	""	"1.160"	"                                                           "	""
"4f4.(5I).6p"	"6I*"	"17/2"	" 3.7501215"	""	"1.220"	"                                                           "	""
""	"*"	"11/2"	" 3.1096297"	""	"0.990"	"                                                           "	""
"4f3.5d.6s"	"*"	"15/2"	" 3.1145240"	""	"1.165"	"                                                           "	""
""	"*"	"7/2"	" 3.1167830"	""	"1.200"	"                                                           "	""
"4f3.5d.6s"	"*"	"9/2"	" 3.1232178"	""	"1.150"	"                                                           "	""
""	"*"	"11/2"	" 3.1245140"	""	"1.140"	"                                                           "	""
""	"*"	"5/2"	" 3.1266366"	""	"1.345"	"                                                           "	""
""	"*"	"15/2"	" 3.1288243"	""	"1.110"	"                                                           "	""
"4f3.5d2"	"*"	"17/2"	" 3.1350719"	""	"1.185"	"                                                           "	""
""	"*"	"7/2"	" 3.1362150"	""	"1.035"	"                                                           "	""
""	"*"	"11/2"	" 3.1432927"	""	"1.150"	"                                                           "	""
""	"*"	"15/2"	" 3.1434489"	""	"1.190"	"                                                           "	""
""	"*"	"9/2"	" 3.1478602"	""	"1.030"	"                                                           "	""
""	"*"	"13/2"	" 3.1485316"	""	"1.138"	"                                                           "	""
""	"*"	"11/2"	" 3.1592742"	""	"0.975"	"                                                           "	""
""	"*"	"7/2"	" 3.1639633"	""	"1.170"	"                                                           "	""
""	"*"	"11/2"	" 3.1691837"	""	"1.360"	"                                                           "	""
""	"*"	"7/2"	" 3.1800552"	""	"1.220"	"                                                           "	""
""	"*"	"17/2"	" 3.1837146"	""	"1.135"	"                                                           "	""
""	"*"	"5/2"	" 3.1919752"	""	"1.200"	"                                                           "	""
""	"*"	"9/2"	" 3.1952606"	""	"0.985"	"                                                           "	""
""	"*"	"7/2"	" 3.2042930"	""	"1.125"	"                                                           "	""
""	"*"	"11/2"	" 3.2078610"	""	"1.175"	"                                                           "	""
"4f4.(5I).6p"	"6H*"	"5/2"	" 3.2082827"	""	"0.655"	"                                                           "	""
"4f4.(5I).6p"	"6H*"	"7/2"	" 3.3029490"	""	"0.970"	"                                                           "	""
"4f4.(5I).6p"	"6H*"	"9/2"	" 3.4002666"	""	"1.170"	"                                                           "	""
"4f4.(5I).6p"	"6H*"	"11/2"	" 3.5069687"	""	"1.085"	"                                                           "	""
"4f4.(5I).6p"	"6H*"	"13/2"	" 3.6493825"	""	"1.215"	"                                                           "	""
"4f4.(5I).6p"	"6H*"	"15/2"	" 3.8072175"	""	"1.205"	"                                                           "	""
""	"*"	"13/2"	" 3.2134696"	""	"1.228"	"                                                           "	""
""	"*"	"15/2"	" 3.2274916"	""	"1.145"	"                                                           "	""
""	"*"	"5/2"	" 3.2286967"	""	"0.940"	"                                                           "	""
""	"4I*"	"15/2"	" 3.2304281"	""	"1.160"	"                                                           "	""
""	"*"	"9/2"	" 3.2370210"	""	"1.055"	"                                                           "	""
""	"*"	"5/2"	" 3.2379744"	""	"1.235"	"                                                           "	""
""	"*"	"5/2"	" 3.2447681"	""	"1.250"	"                                                           "	""
""	"*"	"11/2"	" 3.2462138"	""	"1.020"	"                                                           "	""
""	"*"	"7/2"	" 3.2492297"	""	"0.925"	"                                                           "	""
""	"*"	"13/2"	" 3.2497176"	""	"1.105"	"                                                           "	""
""	"*"	"9/2"	" 3.2517447"	""	"1.050"	"                                                           "	""
""	"*"	"11/2"	" 3.2575720"	""	"1.025"	"                                                           "	""
""	"*"	"7/2"	" 3.2598548"	""	"1.215"	"                                                           "	""
"4f3.5d.6s"	"*"	"13/2"	" 3.2642578"	""	"1.083"	"                                                           "	""
""	"*"	"7/2"	" 3.2693455"	""	"1.285"	"                                                           "	""
""	"*"	"9/2"	" 3.2707933"	""	"1.035"	"                                                           "	""
""	"*"	"7/2"	" 3.2759774"	""	"1.230"	"                                                           "	""
""	"*"	"11/2"	" 3.2800257"	""	"1.090"	"                                                           "	""
""	"*"	"13/2"	" 3.2805698"	""	"1.250"	"                                                           "	""
""	"*"	"15/2"	" 3.2823298"	""	"1.231"	"                                                           "	""
""	"*"	"13/2"	" 3.2842360"	""	"1.150"	"                                                           "	""
""	"*"	"9/2"	" 3.2856309"	""	"1.085"	"                                                           "	""
""	"4K*"	"17/2"	" 3.2959928"	""	"1.223"	"                                                           "	""
""	"*"	"9/2"	" 3.3067317"	""	"1.155"	"                                                           "	""
""	"*"	"7/2"	" 3.3106264"	""	"1.290"	"                                                           "	""
""	"*"	"13/2"	" 3.3151874"	""	"1.095"	"                                                           "	""
""	"*"	"9/2"	" 3.3177211"	""	"1.025"	"                                                           "	""
""	"*"	"11/2"	" 3.3179529"	""	"1.130"	"                                                           "	""
""	"*"	"7/2"	" 3.3219497"	""	"1.095"	"                                                           "	""
""	"*"	"7/2"	" 3.3361083"	""	"1.460"	"                                                           "	""
""	"*"	"9/2"	" 3.3385219"	""	"0.990"	"                                                           "	""
"4f3.5d.6s"	"*"	"11/2"	" 3.3465685"	""	"1.200"	"                                                           "	""
""	"*"	"9/2"	" 3.3493420"	""	"1.105"	"                                                           "	""
""	"*"	"9/2"	" 3.3562498"	""	"1.095"	"                                                           "	""
""	"*"	"13/2"	" 3.3629592"	""	"1.110"	"                                                           "	""
""	"*"	"13/2"	" 3.3657445"	""	"1.225"	"                                                           "	""
""	"*"	"9/2"	" 3.3698412"	""	"0.915"	"                                                           "	""
""	"*"	"9/2"	" 3.3765268"	""	"1.130"	"                                                           "	""
""	"*"	"7/2"	" 3.3778280"	""	"1.190"	"                                                           "	""
"4f4.(5I).6p"	"4K*"	"11/2"	" 3.3780053"	""	"0.955"	"                                                           "	""
"4f4.(5I).6p"	"4K*"	"13/2"	" 3.5414208"	""	"1.044"	"                                                           "	""
"4f4.(5I).6p"	"4K*"	"15/2"	" 3.7312859"	""	"1.105"	"                                                           "	""
"4f4.(5I).6p"	"4K*"	"17/2"	" 3.9272361"	""	"1.180"	"                                                           "	""
""	"*"	"7/2"	" 3.3847120"	""	"1.015"	"                                                           "	""
""	"*"	"13/2"	" 3.3858777"	""	"1.090"	"                                                           "	""
""	"*"	"11/2"	" 3.3912518"	""	"1.035"	"                                                           "	""
""	"*"	"7/2"	" 3.4026874"	""	"1.070"	"                                                           "	""
""	"*"	"15/2"	" 3.4028511"	""	"1.110"	"                                                           "	""
"4f4.6p"	"*"	"13/2"	" 3.4032063"	""	"1.135"	"                                                           "	""
""	"*"	"7/2"	" 3.4100753"	""	"1.168"	"                                                           "	""
""	"*"	"11/2"	" 3.4118474"	""	"1.020"	"                                                           "	""
""	"*"	"9/2"	" 3.4141045"	""	"1.325"	"                                                           "	""
""	"*"	"9/2"	" 3.4161986"	""	"1.125"	"                                                           "	""
""	"*"	"15/2"	" 3.4234176"	""	"1.100"	"                                                           "	""
""	"*"	"5/2"	" 3.4238182"	""	"0.730"	"                                                           "	""
""	"*"	"7/2"	" 3.4267590"	""	"1.150"	"                                                           "	""
""	"*"	"7/2"	" 3.4336953"	""	"0.725"	"                                                           "	""
""	"*"	"13/2"	" 3.4370193"	""	"1.175"	"                                                           "	""
""	"*"	"11/2"	" 3.4429708"	""	"1.102"	"                                                           "	""
""	"*"	"9/2"	" 3.4435539"	""	"1.025"	"                                                           "	""
""	"*"	"11/2"	" 3.4444992"	""	"1.130"	"                                                           "	""
""	"*"	"11/2"	" 3.4465797"	""	"1.060"	"                                                           "	""
""	"*"	"7/2"	" 3.4474284"	""	"0.970"	"                                                           "	""
""	"*"	"15/2"	" 3.4488430"	""	"1.160"	"                                                           "	""
"4f4.(5I).6p"	"4I*"	"9/2"	" 3.4618105"	""	"1.035"	"                                                           "	""
"4f4.(5I).6p"	"4I*"	"11/2"	" 3.6556251"	""	"1.022"	"                                                           "	""
"4f4.(5I).6p"	"4I*"	"13/2"	" 3.8625857"	""	"1.115"	"                                                           "	""
"4f4.(5I).6p"	"4I*"	"15/2"	" 4.0251017"	""	"1.130"	"                                                           "	""
""	"*"	"11/2"	" 3.4620876"	""	"0.980"	"                                                           "	""
""	"*"	"9/2"	" 3.4634385"	""	"1.070"	"                                                           "	""
""	"*"	"9/2"	" 3.4703221"	""	"1.285"	"                                                           "	""
""	"*"	"11/2"	" 3.4706184"	""	"1.175"	"                                                           "	""
""	"*"	"17/2"	" 3.4707188"	""	"1.175"	"                                                           "	""
""	"*"	"13/2"	" 3.4826504"	""	"1.025"	"                                                           "	""
""	"*"	"11/2"	" 3.4876569"	""	"1.070"	"                                                           "	""
""	"*"	"9/2"	" 3.4926900"	""	"1.025"	"                                                           "	""
""	"*"	"13/2"	" 3.4958777"	""	"1.070"	"                                                           "	""
"4f4.(5I).6p"	"4H*"	"7/2"	" 3.4980734"	""	"0.720"	"                                                           "	""
""	"*"	"9/2"	" 3.5085621"	""	"1.072"	"                                                           "	""
""	"*"	"9/2"	" 3.5137803"	""	"1.050"	"                                                           "	""
""	"*"	"13/2"	" 3.5154982"	""	"1.130"	"                                                           "	""
""	"*"	"7/2"	" 3.5360486"	""	"1.172"	"                                                           "	""
""	"*"	"15/2"	" 3.5386262"	""	"1.145"	"                                                           "	""
""	"*"	"11/2"	" 3.5437931"	""	"1.180"	"                                                           "	""
""	"*"	"11/2"	" 3.5456456"	""	"1.140"	"                                                           "	""
""	"*"	"9/2"	" 3.5462010"	""	"1.265"	"                                                           "	""
""	"*"	"13/2"	" 3.5615618"	""	"1.120"	"                                                           "	""
""	"*"	"15/2"	" 3.5620338"	""	"1.130"	"                                                           "	""
""	"*"	"17/2"	" 3.5643628"	""	"1.120"	"                                                           "	""
""	"*"	"9/2"	" 3.5688945"	""	"1.155"	"                                                           "	""
""	"*"	"11/2"	" 3.5782043"	""	"1.110"	"                                                           "	""
""	"*"	"13/2"	" 3.5830280"	""	"1.040"	"                                                           "	""
""	"*"	"9/2"	" 3.5863973"	""	"0.890"	"                                                           "	""
""	"*"	"17/2"	" 3.5989557"	""	"1.200"	"                                                           "	""
""	"*"	"7/2"	" 3.6000858"	""	"1.045"	"                                                           "	""
"4f4.(5I).6p"	"4H*"	"9/2"	" 3.6009289"	""	"0.981"	"                                                           "	""
""	"*"	"11/2"	" 3.6054441"	""	"1.107"	"                                                           "	""
""	"*"	"13/2"	" 3.6065421"	""	"1.126"	"                                                           "	""
""	"*"	"9/2"	" 3.6228886"	""	"1.160"	"                                                           "	""
""	"*"	"11/2"	" 3.6252212"	""	"1.119"	"                                                           "	""
"4f3.5d.6s"	"*"	"15/2"	" 3.6278694"	""	"1.223"	"                                                           "	""
""	"*"	"9/2"	" 3.6325665"	""	"0.900"	"                                                           "	""
""	"*"	"11/2"	" 3.6372910"	""	"1.025"	"                                                           "	""
""	"*"	"15/2"	" 3.6404885"	""	"1.140"	"                                                           "	""
""	"*"	"11/2"	" 3.6482505"	""	"1.085"	"                                                           "	""
""	"*"	"9/2"	" 3.6602293"	""	"1.075"	"                                                           "	""
""	"*"	"11/2"	" 3.6676869"	""	"1.105"	"                                                           "	""
""	"*"	"15/2"	" 3.6726798"	""	"1.035"	"                                                           "	""
""	"*"	"13/2"	" 3.6825134"	""	"1.090"	"                                                           "	""
""	"*"	"11/2"	" 3.6902363"	""	"1.077"	"                                                           "	""
""	"*"	"13/2"	" 3.6963945"	""	"1.065"	"                                                           "	""
""	"*"	"9/2"	" 3.7027435"	""	"0.993"	"                                                           "	""
""	"*"	"7/2"	" 3.7045028"	""	"1.215"	"                                                           "	""
""	"*"	"5/2"	" 3.7049194"	""	"1.195"	"                                                           "	""
""	"*"	"15/2"	" 3.7139975"	""	"1.120"	"                                                           "	""
""	"*"	"5/2"	" 3.7241229"	""	"0.800"	"                                                           "	""
""	"*"	"11/2"	" 3.7395638"	""	"1.047"	"                                                           "	""
""	"*"	"9/2"	" 3.7439239"	""	"1.052"	"                                                           "	""
""	"*"	"11/2"	" 3.7456500"	""	"1.145"	"                                                           "	""
""	"*"	"5/2"	" 3.7558523"	""	"0.798"	"                                                           "	""
""	"*"	"15/2"	" 3.7574837"	""	"1.130"	"                                                           "	""
""	"*"	"7/2"	" 3.7593776"	""	"1.116"	"                                                           "	""
""	"*"	"13/2"	" 3.7627146"	""	"1.125"	"                                                           "	""
""	"*"	"7/2"	" 3.7683509"	""	"1.105"	"                                                           "	""
""	"*"	"15/2"	" 3.7698115"	""	"1.115"	"                                                           "	""
""	"*"	"5/2"	" 3.7730684"	""	"0.963"	"                                                           "	""
""	"*"	"7/2"	" 3.7757331"	""	"0.990"	"                                                           "	""
""	"*"	"13/2"	" 3.7774693"	""	"1.075"	"                                                           "	""
""	"*"	"7/2"	" 3.7880204"	""	"1.005"	"                                                           "	""
""	"*"	"13/2"	" 3.7902230"	""	"1.014"	"                                                           "	""
""	"*"	"7/2"	" 3.7904238"	""	"1.070"	"                                                           "	""
""	"*"	"5/2"	" 3.8013338"	""	"0.920"	"                                                           "	""
""	"*"	"7/2"	" 3.8039920"	""	"0.980"	"                                                           "	""
""	"*"	"11/2"	" 3.8052075"	""	"1.005"	"                                                           "	""
""	"*"	"13/2"	" 3.8064116"	""	"1.155"	"                                                           "	""
"4f4.6p"	"*"	"17/2"	" 3.8164184"	""	"1.210"	"                                                           "	""
""	"*"	"5/2"	" 3.8181081"	""	"1.046"	"                                                           "	""
""	"*"	"7/2"	" 3.8193996"	""	"1.080"	"                                                           "	""
""	"*"	"13/2"	" 3.8203385"	""	"1.137"	"                                                           "	""
""	"*"	"9/2"	" 3.8209866"	""	"1.255"	"                                                           "	""
""	"*"	"5/2"	" 3.8299946"	""	"1.000"	"                                                           "	""
""	"*"	"7/2"	" 3.8303344"	""	"1.005"	"                                                           "	""
""	"*"	"7/2"	" 3.8335455"	""	"1.090"	"                                                           "	""
""	"*"	"9/2"	" 3.8345337"	""	"1.165"	"                                                           "	""
""	"*"	"13/2"	" 3.8375814"	""	"1.190"	"                                                           "	""
""	"*"	"9/2"	" 3.8423304"	""	"1.095"	"                                                           "	""
""	"*"	"11/2"	" 3.8429620"	""	"1.190"	"                                                           "	""
""	"*"	"15/2"	" 3.8521271"	""	"1.040"	"                                                           "	""
""	"*"	"11/2"	" 3.8541443"	""	"1.055"	"                                                           "	""
""	"*"	"7/2"	" 3.8594967"	""	"1.020"	"                                                           "	""
""	"*"	"9/2"	" 3.8657969"	""	"1.000"	"                                                           "	""
""	"*"	"7/2"	" 3.8666431"	""	"1.050"	"                                                           "	""
""	"*"	"13/2"	" 3.8753456"	""	"1.135"	"                                                           "	""
""	"*"	"11/2"	" 3.8775822"	""	"1.145"	"                                                           "	""
""	"*"	"9/2"	" 3.8851449"	""	"1.125"	"                                                           "	""
""	"*"	"15/2"	" 3.8884069"	""	"1.020"	"                                                           "	""
""	"*"	"13/2"	" 3.8937344"	""	"1.120"	"                                                           "	""
""	"*"	"11/2"	" 3.8979338"	""	"1.165"	"                                                           "	""
""	"*"	"9/2"	" 3.8994641"	""	"1.048"	"                                                           "	""
""	"*"	"15/2"	" 3.9041519"	""	"1.110"	"                                                           "	""
""	"*"	"7/2"	" 3.9072478"	""	"1.050"	"                                                           "	""
""	"*"	"11/2"	" 3.9090523"	""	"1.000"	"                                                           "	""
""	"*"	"9/2"	" 3.9201588"	""	"1.250"	"                                                           "	""
""	"*"	"9/2"	" 3.9294308"	""	"1.237"	"                                                           "	""
""	"*"	"17/2"	" 3.9449925"	""	"1.180"	"                                                           "	""
""	"*"	"9/2"	" 3.9470155"	""	"1.089"	"                                                           "	""
""	"*"	"7/2"	" 3.9482536"	""	"0.945"	"                                                           "	""
""	"*"	"13/2"	" 3.9498013"	""	"1.180"	"                                                           "	""
""	"*"	"15/2"	" 3.9523846"	""	"1.178"	"                                                           "	""
""	"*"	"11/2"	" 3.9551698"	""	"1.185"	"                                                           "	""
""	"*"	"9/2"	" 3.9606318"	""	"1.071"	"                                                           "	""
""	"*"	"9/2"	" 3.9667058"	""	"0.957"	"                                                           "	""
""	"*"	"7/2"	" 3.9685576"	""	"1.083"	"                                                           "	""
""	"*"	"15/2"	" 3.9791049"	""	"1.130"	"                                                           "	""
""	"*"	"7/2"	" 3.9827991"	""	"1.022"	"                                                           "	""
""	"*"	"11/2"	" 3.9854032"	""	"1.190"	"                                                           "	""
""	"*"	"9/2"	" 3.9879845"	""	"0.970"	"                                                           "	""
""	"*"	"9/2"	" 3.9913056"	""	"1.060"	"                                                           "	""
""	"*"	"5/2"	" 3.9915609"	""	"0.990"	"                                                           "	""
""	"*"	"5/2"	" 3.9937356"	""	"1.135"	"                                                           "	""
""	"*"	"15/2"	" 3.9949655"	""	"1.140"	"                                                           "	""
""	"*"	"9/2"	" 3.9989529"	""	"0.985"	"                                                           "	""
""	"*"	"11/2"	" 4.0139947"	""	"1.095"	"                                                           "	""
""	"*"	"7/2"	" 4.0163549"	""	"1.240"	"                                                           "	""
""	"*"	"13/2"	" 4.0167849"	""	"1.080"	"                                                           "	""
""	"*"	"15/2"	" 4.0200566"	""	"1.030"	"                                                           "	""
""	"*"	"11/2"	" 4.0225545"	""	"1.095"	"                                                           "	""
""	"*"	"9/2"	" 4.0273452"	""	"1.160"	"                                                           "	""
""	"*"	"11/2"	" 4.0322310"	""	"0.910"	"                                                           "	""
""	"*"	"11/2"	" 4.0481783"	""	"1.110"	"                                                           "	""
""	"*"	"9/2"	" 4.0507332"	""	"1.185"	"                                                           "	""
""	"*"	"11/2"	" 4.0616714"	""	"1.030"	"                                                           "	""
""	"*"	"9/2"	" 4.0664862"	""	"1.200"	"                                                           "	""
""	"*"	"13/2"	" 4.0747210"	""	"0.950"	"                                                           "	""
""	"*"	"15/2"	" 4.0797403"	""	"1.080"	"                                                           "	""
""	"*"	"9/2"	" 4.0813337"	""	"1.120"	"                                                           "	""
""	"*"	"3/2"	" 4.0870412"	""	"1.140"	"                                                           "	""
""	"*"	"11/2"	" 4.0918778"	""	"1.115"	"                                                           "	""
""	"*"	"17/2"	" 4.1035943"	""	"1.230"	"                                                           "	""
""	"*"	"11/2"	" 4.1063678"	""	"1.015"	"                                                           "	""
""	"*"	"11/2"	" 4.1154001"	""	"1.050"	"                                                           "	""
""	"*"	"17/2"	" 4.1181401"	""	"1.015"	"                                                           "	""
""	"*"	"3/2"	" 4.1212245"	""	"0.950"	"                                                           "	""
""	"*"	"13/2"	" 4.1237603"	""	"1.245"	"                                                           "	""
""	"*"	"3/2"	" 4.1288393"	""	"1.210"	"                                                           "	""
""	"*"	"7/2"	" 4.1303935"	""	"1.200"	"                                                           "	""
""	"*"	"13/2"	" 4.1476260"	""	"1.065"	"                                                           "	""
""	"*"	"3/2"	" 4.1490866"	""	"0.755"	"                                                           "	""
""	"*"	"1/2"	" 4.1559776"	""	"0.750"	"                                                           "	""
""	"*"	"17/2"	" 4.1567562"	""	"1.110"	"                                                           "	""
""	"*"	"5/2"	" 4.1586984"	""	"0.810"	"                                                           "	""
""	"*"	"13/2"	" 4.1605001"	""	"1.015"	"                                                           "	""
"4f3.(4I*).5d (5L*).6p"	"6M"	"23/2"	" "	""	""	"                                                           "	""
"4f3.(4I*).5d (5L*).6p"	"6M"	"13/2"	" 4.1613467"	""	"0.770"	"  70                                                       "	""
"4f3.(4I*).5d (5L*).6p"	"6M"	"15/2"	" 4.3996946"	""	"0.890"	"  75                                                       "	""
"4f3.(4I*).5d (5L*).6p"	"6M"	"17/2"	" 4.6521655"	""	"1.025"	"  82                                                       "	""
"4f3.(4I*).5d (5L*).6p"	"6M"	"19/2"	" 4.9114431"	""	"1.100"	"  91                                                       "	""
"4f3.(4I*).5d (5L*).6p"	"6M"	"21/2"	" 5.1809023&dagger;"	""	"1.170"	"  97                                                       "	""
"4f4.5d"	""	"13/2"	" 4.1699110"	""	"0.960"	"                                                           "	""
""	"*"	"3/2"	" 4.1708694"	""	"1.050"	"                                                           "	""
"4f3.5d.6p"	""	"11/2"	" 4.1746248"	""	"0.890"	"  60                                                       "	""
"4f4.5d"	""	"11/2"	" 4.1777976"	""	"0.94"	"                                                           "	""
""	"*"	"11/2"	" 4.1806341"	""	"1.110"	"                                                           "	""
""	"*"	"13/2"	" 4.1856609"	""	"1.063"	"                                                           "	""
""	"*"	"11/2"	" 4.1897273"	""	"1.210"	"                                                           "	""
""	"*"	"13/2"	" 4.1918041"	""	"1.190"	"                                                           "	""
""	"*"	"1/2"	" 4.1931865"	""	"0.750"	"                                                           "	""
""	"*"	"5/2"	" 4.1982692"	""	"1.170"	"                                                           "	""
""	"*"	"17/2"	" 4.2011091"	""	"1.210"	"                                                           "	""
""	"*"	"3/2"	" 4.2081030"	""	"0.850"	"                                                           "	""
""	"*"	"13/2"	" 4.2156398"	""	"1.090"	"                                                           "	""
""	"*"	"13/2"	" 4.2263684"	""	"1.150"	"                                                           "	""
""	"*"	"17/2"	" 4.2302348"	""	"1.165"	"                                                           "	""
""	"*"	"11/2"	" 4.2313107"	""	"1.050"	"                                                           "	""
""	"*"	"3/2"	" 4.2320097"	""	"1.295"	"                                                           "	""
""	"*"	"3/2"	" 4.2434943"	""	"1.700"	"                                                           "	""
""	"*"	"11/2"	" 4.2436297"	""	"1.160"	"                                                           "	""
""	"*"	"5/2"	" 4.2454564"	""	"1.060"	"                                                           "	""
""	"*"	"1/2"	" 4.2555468"	""	"0.450"	"                                                           "	""
""	"*"	"13/2"	" 4.2650477"	""	"1.165"	"                                                           "	""
""	"*"	"3/2"	" 4.2794212"	""	"1.095"	"                                                           "	""
""	"*"	"9/2"	" 4.2807888"	""	"1.125"	"                                                           "	""
""	"*"	"15/2"	" 4.2843647"	""	"1.238"	"                                                           "	""
""	"*"	"3/2"	" 4.2853663"	""	"0.920"	"                                                           "	""
"4f3.5d.6p"	"6K"	"9/2"	" 4.2909189"	""	"0.685"	"  46                                                       "	""
""	"*"	"5/2"	" 4.2938493"	""	"1.150"	"                                                           "	""
""	"*"	"15/2"	" 4.2987476"	""	"1.115"	"                                                           "	""
""	"*"	"13/2"	" 4.3009384"	""	"1.085"	"                                                           "	""
""	"*"	"5/2"	" 4.3016966"	""	"1.440"	"                                                           "	""
""	"*"	"7/2"	" 4.3033806"	""	"1.095"	"                                                           "	""
""	"*"	"7/2"	" 4.3080250"	""	"1.130"	"                                                           "	""
""	"*"	"7/2"	" 4.3167851"	""	"0.835"	"                                                           "	""
""	"*"	"15/2"	" 4.3197421"	""	"1.130"	"                                                           "	""
""	"*"	"1/2"	" 4.3216428"	""	"0.935"	"                                                           "	""
""	"*"	"5/2"	" 4.3233854"	""	"1.040"	"                                                           "	""
""	"*"	"15/2"	" 4.3265303"	""	"1.175"	"                                                           "	""
""	"*"	"5/2"	" 4.3318529"	""	"1.100"	"                                                           "	""
""	"*"	"7/2"	" 4.3373321"	""	"1.170"	"                                                           "	""
""	"*"	"7/2"	" 4.3464062"	""	"0.990"	"                                                           "	""
""	"*"	"7/2"	" 4.3511058"	""	"1.085"	"                                                           "	""
""	"*"	"5/2"	" 4.3518596"	""	"1.135"	"                                                           "	""
""	"*"	"3/2"	" 4.3548600"	""	"0.885"	"                                                           "	""
"4f3.5d.6p"	"6L"	"21/2"	" "	""	""	"                                                           "	""
"4f3.5d.6p"	"6L"	"19/2"	" "	""	""	"                                                           "	""
"4f3.5d.6p"	"6L"	"11/2"	" 4.3559988"	""	"0.715"	"  55                                                       "	""
"4f3.5d.6p"	"6L"	"13/2"	" 4.5021880"	""	"0.825"	"  49                                                       "	""
"4f3.5d.6p"	"6L"	"15/2"	" 4.6205805"	""	"0.990"	"  61                                                       "	""
"4f3.5d.6p"	"6L"	"17/2"	" 4.8251619"	""	"1.080"	"  37                                                       "	""
""	"*"	"5/2"	" 4.3600165"	""	"0.970"	"                                                           "	""
""	"*"	"9/2"	" 4.3604759"	""	"1.175"	"                                                           "	""
""	""	"11/2"	" 4.3661872"	""	"1.065"	"                                                           "	""
""	"*"	"11/2"	" 4.3673694"	""	"1.240"	"                                                           "	""
""	"*"	"13/2"	" 4.3694286"	""	"1.095"	"                                                           "	""
""	"*"	"7/2"	" 4.3741650"	""	"1.060"	"                                                           "	""
""	"*"	"9/2"	" 4.3805452"	""	"1.030"	"                                                           "	""
""	"*"	"1/2"	" 4.3821465"	""	"0.435"	"                                                           "	""
""	"*"	"13/2"	" 4.3894684"	""	"1.175"	"                                                           "	""
""	"*"	"7/2"	" 4.3945244"	""	"1.300"	"                                                           "	""
""	"*"	"3/2"	" 4.3948716"	""	"1.125"	"                                                           "	""
""	"*"	"5/2"	" 4.4010280"	""	"1.005"	"                                                           "	""
"4f3.5d.6p"	""	"13/2"	" 4.4018377"	""	"0.910"	"  67                                                       "	""
""	"*"	"9/2"	" 4.4146670"	""	"1.035"	"                                                           "	""
""	"*"	"15/2"	" 4.4149806"	""	"1.240"	"                                                           "	""
""	"*"	"7/2"	" 4.4202822"	""	"0.940"	"                                                           "	""
""	"*"	"3/2"	" 4.4239298"	""	"1.200"	"                                                           "	""
""	"*"	"3/2"	" 4.4305071"	""	"1.435"	"                                                           "	""
""	"*"	"5/2"	" 4.4410427"	""	"0.905"	"                                                           "	""
""	""	"9/2"	" 4.4420501"	""	"0.705"	"                                                           "	""
""	"*"	"9/2"	" 4.4474979"	""	"1.015"	"                                                           "	""
""	"*"	"7/2"	" 4.4489101"	""	"1.138"	"                                                           "	""
""	"*"	"5/2"	" 4.4588313"	""	"1.375"	"                                                           "	""
""	"*"	"9/2"	" 4.4616681"	""	"1.070"	"                                                           "	""
""	"*"	"5/2"	" 4.4630586"	""	"0.990"	"                                                           "	""
""	"*"	"9/2"	" 4.4678338"	""	"1.155"	"                                                           "	""
""	"*"	"5/2"	" 4.4806104"	""	"1.375"	"                                                           "	""
""	"*"	"15/2"	" 4.4844926"	""	"1.165"	"                                                           "	""
"4f3.5d.6p"	""	"11/2"	" 4.4920114"	""	"0.920"	"  54                                                       "	""
""	"*"	"7/2"	" 4.4960025"	""	"1.115"	"                                                           "	""
""	"*"	"5/2"	" 4.5111254"	""	"1.210"	"                                                           "	""
""	"*"	"7/2"	" 4.5122487"	""	"0.970"	"                                                           "	""
""	"*"	"9/2"	" 4.5151400"	""	"1.235"	"                                                           "	""
""	"*"	"1/2"	" 4.5172986"	""	"1.300"	"                                                           "	""
""	"*"	"13/2"	" 4.5185324"	""	"1.138"	"                                                           "	""
""	""	"13/2"	" 4.5261163"	""	"1.05"	"                                                           "	""
