Step 295, Time: 0.0493646, CPUs: 64
Step 296, Time: 0.0493658, CPUs: 64
Step 297, Time: 0.0493681, CPUs: 64
Step 298, Time: 0.0493727, CPUs: 64
Step 299, Time: 0.0493819, CPUs: 64
Step 300, Time: 0.0494003, CPUs: 64
Step 301, Time: 0.0494049, CPUs: 64
Step 302, Time: 0.0494095, CPUs: 64
Step 303, Time: 0.0494188, CPUs: 64
Step 304, Time: 0.0494372, CPUs: 64
Step 305, Time: 0.0494395, CPUs: 64
Step 306, Time: 0.0494418, CPUs: 64
Step 307, Time: 0.0494464, CPUs: 64
Step 308, Time: 0.0494557, CPUs: 64
Step 309, Time: 0.0494741, CPUs: 64
Step 310, Time: 0.0494787, CPUs: 64
Step 311, Time: 0.0494833, CPUs: 64
Step 312, Time: 0.0494926, CPUs: 64
Step 313, Time: 0.049511, CPUs: 64
Step 314, Time: 0.0495122, CPUs: 64
Step 315, Time: 0.0495133, CPUs: 64
Step 316, Time: 0.0495157, CPUs: 64
Step 317, Time: 0.0495203, CPUs: 64
Step 318, Time: 0.0495295, CPUs: 64
Step 319, Time: 0.049548, CPUs: 64
Step 320, Time: 0.0495665, CPUs: 64
Step 321, Time: 0.049585, CPUs: 64
Step 322, Time: 0.0495873, CPUs: 64
Step 323, Time: 0.0495896, CPUs: 64
Step 324, Time: 0.0495942, CPUs: 64
Step 325, Time: 0.0496035, CPUs: 64
Step 326, Time: 0.049622, CPUs: 64
Step 327, Time: 0.0496405, CPUs: 64
Step 328, Time: 0.049659, CPUs: 64
Step 329, Time: 0.0496596, CPUs: 64
Step 330, Time: 0.0496602, CPUs: 64
Step 331, Time: 0.0496613, CPUs: 64
Step 332, Time: 0.0496637, CPUs: 64
Step 333, Time: 0.0496683, CPUs: 64
Step 334, Time: 0.0496776, CPUs: 64
Step 335, Time: 0.0496961, CPUs: 64
Step 336, Time: 0.0497007, CPUs: 64
Step 337, Time: 0.0497054, CPUs: 64
Step 338, Time: 0.0497146, CPUs: 64
Step 339, Time: 0.0497332, CPUs: 64
Step 340, Time: 0.0497355, CPUs: 64
Step 341, Time: 0.0497378, CPUs: 64
Step 342, Time: 0.0497425, CPUs: 64
Step 343, Time: 0.0497518, CPUs: 64
Step 344, Time: 0.0497703, CPUs: 64
Step 345, Time: 0.049775, CPUs: 64
Step 346, Time: 0.0497796, CPUs: 64
Step 347, Time: 0.0497889, CPUs: 64
Step 348, Time: 0.0498075, CPUs: 64
Step 349, Time: 0.0498086, CPUs: 64
Step 350, Time: 0.0498098, CPUs: 64
Step 351, Time: 0.0498121, CPUs: 64
Step 352, Time: 0.0498168, CPUs: 64
Step 353, Time: 0.0498261, CPUs: 64
Step 354, Time: 0.0498446, CPUs: 64
Step 355, Time: 0.0498493, CPUs: 64
Step 356, Time: 0.0498539, CPUs: 64
Step 357, Time: 0.0498632, CPUs: 64
Step 358, Time: 0.0498819, CPUs: 64
Step 359, Time: 0.0498842, CPUs: 64
Step 360, Time: 0.0498865, CPUs: 64
Step 361, Time: 0.0498912, CPUs: 64
Step 362, Time: 0.0499005, CPUs: 64
Step 363, Time: 0.0499191, CPUs: 64
Step 364, Time: 0.0499237, CPUs: 64
Step 365, Time: 0.0499284, CPUs: 64
Step 366, Time: 0.0499377, CPUs: 64
Step 367, Time: 0.0499564, CPUs: 64
Step 368, Time: 0.0499575, CPUs: 64
Step 369, Time: 0.0499587, CPUs: 64
Step 370, Time: 0.049961, CPUs: 64
Step 371, Time: 0.0499657, CPUs: 64
Step 372, Time: 0.049975, CPUs: 64
Step 373, Time: 0.0499936, CPUs: 64
Step 374, Time: 0.0499983, CPUs: 64
Step 375, Time: 0.050003, CPUs: 64
Step 376, Time: 0.0500123, CPUs: 64
Step 377, Time: 0.050031, CPUs: 64
Step 378, Time: 0.0500333, CPUs: 64
Step 379, Time: 0.0500356, CPUs: 64
Step 380, Time: 0.0500403, CPUs: 64
Step 381, Time: 0.0500496, CPUs: 64
Step 382, Time: 0.0500683, CPUs: 64
Step 383, Time: 0.050073, CPUs: 64
Step 384, Time: 0.0500776, CPUs: 64
Step 385, Time: 0.050087, CPUs: 64
Step 386, Time: 0.0501057, CPUs: 64
Step 387, Time: 0.0501068, CPUs: 64
Step 388, Time: 0.050108, CPUs: 64
Step 389, Time: 0.0501103, CPUs: 64
Step 390, Time: 0.050115, CPUs: 64
Step 391, Time: 0.0501244, CPUs: 64
Step 392, Time: 0.0501431, CPUs: 64
Step 393, Time: 0.0501478, CPUs: 64
Step 394, Time: 0.0501524, CPUs: 64
Step 395, Time: 0.0501618, CPUs: 64
Step 396, Time: 0.0501805, CPUs: 64
Step 397, Time: 0.0501828, CPUs: 64
Step 398, Time: 0.0501852, CPUs: 64
Step 399, Time: 0.0501899, CPUs: 64
Step 400, Time: 0.0501992, CPUs: 64
Step 401, Time: 0.050218, CPUs: 64
Step 402, Time: 0.0502226, CPUs: 64
Step 403, Time: 0.0502273, CPUs: 64
Step 404, Time: 0.0502367, CPUs: 64
Step 405, Time: 0.0502554, CPUs: 64
Step 406, Time: 0.0502566, CPUs: 64
Step 407, Time: 0.0502578, CPUs: 64
Step 408, Time: 0.0502601, CPUs: 64
Step 409, Time: 0.0502648, CPUs: 64
Step 410, Time: 0.0502742, CPUs: 64
Step 411, Time: 0.050293, CPUs: 64
Step 412, Time: 0.0502977, CPUs: 64
Step 413, Time: 0.0503023, CPUs: 64
Step 414, Time: 0.0503117, CPUs: 64
Step 415, Time: 0.0503305, CPUs: 64
Step 416, Time: 0.0503328, CPUs: 64
Step 417, Time: 0.0503352, CPUs: 64
Step 418, Time: 0.0503399, CPUs: 64
Step 419, Time: 0.0503493, CPUs: 64
Step 420, Time: 0.0503681, CPUs: 64
Step 421, Time: 0.0503728, CPUs: 64
Step 422, Time: 0.0503775, CPUs: 64
Step 423, Time: 0.0503869, CPUs: 64
Step 424, Time: 0.0504057, CPUs: 64
Step 425, Time: 0.0504068, CPUs: 64
