Step 280, Time: 0.0338443, CPUs: 64
Step 281, Time: 0.0338765, CPUs: 64
Step 282, Time: 0.0339087, CPUs: 64
Step 283, Time: 0.0339409, CPUs: 64
Step 284, Time: 0.0339731, CPUs: 64
Step 285, Time: 0.0340054, CPUs: 64
Step 286, Time: 0.0340377, CPUs: 64
Step 287, Time: 0.03407, CPUs: 64
Step 288, Time: 0.0341024, CPUs: 64
Step 289, Time: 0.0341348, CPUs: 64
Step 290, Time: 0.0341672, CPUs: 64
Step 291, Time: 0.0341997, CPUs: 64
Step 292, Time: 0.0342322, CPUs: 64
Step 293, Time: 0.0342647, CPUs: 64
Step 294, Time: 0.0342972, CPUs: 64
Step 295, Time: 0.0343298, CPUs: 64
Step 296, Time: 0.0343624, CPUs: 64
Step 297, Time: 0.0343951, CPUs: 64
Step 298, Time: 0.0344278, CPUs: 64
Step 299, Time: 0.0344605, CPUs: 64
Step 300, Time: 0.0344932, CPUs: 64
Step 301, Time: 0.034526, CPUs: 64
Step 302, Time: 0.0345588, CPUs: 64
Step 303, Time: 0.0345916, CPUs: 64
Step 304, Time: 0.0346245, CPUs: 64
Step 305, Time: 0.0346573, CPUs: 64
Step 306, Time: 0.0346903, CPUs: 64
Step 307, Time: 0.0347232, CPUs: 64
Step 308, Time: 0.0347562, CPUs: 64
Step 309, Time: 0.0347892, CPUs: 64
Step 310, Time: 0.0348223, CPUs: 64
Step 311, Time: 0.0348554, CPUs: 64
Step 312, Time: 0.0348885, CPUs: 64
Step 313, Time: 0.0349216, CPUs: 64
Step 314, Time: 0.0349548, CPUs: 64
Step 315, Time: 0.034988, CPUs: 64
Step 316, Time: 0.0350212, CPUs: 64
Step 317, Time: 0.0350545, CPUs: 64
Step 318, Time: 0.0350878, CPUs: 64
Step 319, Time: 0.0351211, CPUs: 64
Step 320, Time: 0.0351545, CPUs: 64
Step 321, Time: 0.0351879, CPUs: 64
Step 322, Time: 0.0352213, CPUs: 64
Step 323, Time: 0.0352548, CPUs: 64
Step 324, Time: 0.0352883, CPUs: 64
Step 325, Time: 0.0353218, CPUs: 64
Step 326, Time: 0.0353553, CPUs: 64
Step 327, Time: 0.0353889, CPUs: 64
Step 328, Time: 0.0354225, CPUs: 64
Step 329, Time: 0.0354562, CPUs: 64
Step 330, Time: 0.0354899, CPUs: 64
Step 331, Time: 0.0354909, CPUs: 64
Step 332, Time: 0.035492, CPUs: 64
Step 333, Time: 0.0354941, CPUs: 64
Step 334, Time: 0.0354983, CPUs: 64
Step 335, Time: 0.0355067, CPUs: 64
Step 336, Time: 0.0355236, CPUs: 64
Step 337, Time: 0.0355573, CPUs: 64
Step 338, Time: 0.0355911, CPUs: 64
Step 339, Time: 0.0356249, CPUs: 64
Step 340, Time: 0.0356588, CPUs: 64
Step 341, Time: 0.0356926, CPUs: 64
Step 342, Time: 0.0357266, CPUs: 64
Step 343, Time: 0.0357605, CPUs: 64
